time;position;tas;heading_angle;climb_angle;
11542.265287s;52°9'16.276338"N 12°14'49.480338"E 30000.00ft;700.0km/h;66.25°;0.00°;
11593.693859s;52°11'25.957268"N 12°22'52.358968"E 30000.00ft;700.0km/h;66.35°;0.00°;
11645.122430s;52°13'35.088793"N 12°30'56.019797"E 30000.00ft;700.0km/h;66.46°;0.00°;
11696.551002s;52°15'43.669299"N 12°39'0.461774"E 30000.00ft;700.0km/h;66.56°;0.00°;
11747.979573s;52°17'51.697173"N 12°47'5.683823"E 30000.00ft;700.0km/h;66.67°;0.00°;
11799.408144s;52°19'59.170803"N 12°55'11.684833"E 30000.00ft;700.0km/h;66.78°;0.00°;
11850.836716s;52°22'6.088577"N 13°3'18.463666"E 30000.00ft;700.0km/h;66.88°;0.00°;
11902.265287s;52°24'12.448887"N 13°11'26.019152"E 30000.00ft;700.0km/h;66.99°;0.00°;
11953.693859s;52°26'18.250120"N 13°19'34.350088"E 30000.00ft;700.0km/h;67.10°;0.00°;
12005.122430s;52°28'23.490670"N 13°27'43.455243"E 30000.00ft;700.0km/h;67.21°;0.00°;
12056.551002s;52°30'28.168928"N 13°35'53.333353"E 30000.00ft;700.0km/h;67.32°;0.00°;
12107.979573s;52°32'32.283287"N 13°44'3.983124"E 30000.00ft;700.0km/h;67.42°;0.00°;
12159.408144s;52°34'35.832142"N 13°52'15.403229"E 30000.00ft;700.0km/h;67.53°;0.00°;
12210.836716s;52°36'38.813890"N 14°0'27.592310"E 30000.00ft;700.0km/h;67.64°;0.00°;
12262.265287s;52°38'41.226925"N 14°8'40.548977"E 30000.00ft;700.0km/h;67.75°;0.00°;
12313.693859s;52°40'43.069648"N 14°16'54.271808"E 30000.00ft;700.0km/h;67.86°;0.00°;
12365.122430s;52°42'44.340458"N 14°25'8.759350"E 30000.00ft;700.0km/h;67.97°;0.00°;
12416.551002s;52°44'45.037756"N 14°33'24.010117"E 30000.00ft;700.0km/h;68.08°;0.00°;
12467.979573s;52°46'45.159944"N 14°41'40.022588"E 30000.00ft;700.0km/h;68.19°;0.00°;
12519.408144s;52°48'44.705427"N 14°49'56.795215"E 30000.00ft;700.0km/h;68.30°;0.00°;
12570.836716s;52°50'43.672612"N 14°58'14.326412"E 30000.00ft;700.0km/h;68.41°;0.00°;
12622.265287s;52°52'42.059906"N 15°6'32.614563"E 30000.00ft;700.0km/h;68.52°;0.00°;
12673.693859s;52°54'39.865719"N 15°14'51.658019"E 30000.00ft;700.0km/h;68.63°;0.00°;
12725.122430s;52°56'37.088463"N 15°23'11.455097"E 30000.00ft;700.0km/h;68.74°;0.00°;
12776.551002s;52°58'33.726551"N 15°31'32.004081"E 30000.00ft;700.0km/h;68.85°;0.00°;
12827.979573s;53°0'29.778398"N 15°39'53.303222"E 30000.00ft;700.0km/h;68.96°;0.00°;
12879.408144s;53°2'25.242424"N 15°48'15.350737"E 30000.00ft;700.0km/h;69.07°;0.00°;
12930.836716s;53°4'20.117047"N 15°56'38.144811"E 30000.00ft;700.0km/h;69.19°;0.00°;
12982.265287s;53°6'14.400691"N 16°5'1.683594"E 30000.00ft;700.0km/h;69.30°;0.00°;
13033.693859s;53°8'8.091780"N 16°13'25.965201"E 30000.00ft;700.0km/h;69.41°;0.00°;
13085.122430s;53°10'1.188740"N 16°21'50.987715"E 30000.00ft;700.0km/h;69.52°;0.00°;
13136.551002s;53°11'53.690003"N 16°30'16.749185"E 30000.00ft;700.0km/h;69.64°;0.00°;
