time;position;tas;heading_angle;climb_angle;
12519.41s;52°48'43.943677"N 14°50'0.919055"E 20010.52ft;702.9km/h;68.30°;-0.00°;
12570.84s;52°50'42.666255"N 14°58'17.400146"E 20009.77ft;701.1km/h;68.41°;-0.00°;
12622.27s;52°52'40.798407"N 15°6'34.580380"E 20009.07ft;699.2km/h;68.52°;-0.00°;
12673.69s;52°54'38.361546"N 15°14'52.554497"E 20008.42ft;697.4km/h;68.63°;-0.00°;
12725.12s;52°56'35.375930"N 15°23'11.414765"E 20007.82ft;695.7km/h;68.74°;-0.00°;
12776.55s;52°58'31.859095"N 15°31'31.244188"E 20007.26ft;694.4km/h;68.85°;-0.00°;
12827.98s;53°0'27.824512"N 15°39'52.110357"E 20006.74ft;693.5km/h;68.96°;-0.00°;
12879.41s;53°2'23.280534"N 15°48'14.060398"E 20006.26ft;693.0km/h;69.07°;-0.00°;
12930.84s;53°4'18.229738"N 15°56'37.117379"E 20005.81ft;693.1km/h;69.19°;-0.00°;
12982.27s;53°6'12.668684"N 16°5'1.278437"E 20005.40ft;693.6km/h;69.30°;-0.00°;
13033.69s;53°8'6.588103"N 16°13'26.514775"E 20005.01ft;694.6km/h;69.41°;-0.00°;
13085.12s;53°9'59.973520"N 16°21'52.773530"E 20004.66ft;696.0km/h;69.52°;-0.00°;
13136.55s;53°11'52.806228"N 16°30'19.981381"E 20004.32ft;697.7km/h;69.63°;-0.00°;
13187.98s;53°13'45.064570"N 16°38'48.049639"E 20004.01ft;699.6km/h;69.75°;-0.00°;
13239.41s;53°15'36.725416"N 16°47'16.880469"E 20003.73ft;701.4km/h;69.86°;-0.00°;
13290.84s;53°17'27.765731"N 16°55'46.373778"E 20003.46ft;703.2km/h;69.97°;-0.00°;
